22;2249;594696;594674;592425
22;3292;597988;597966;594674
22;1336;599324;599302;597966
22;3399;602723;602701;599302
22;2616;609339;609317;606701
22;10;609349;609327;609317
22;250;609599;609577;609327
23;2011;611610;611587;609576
23;531;612141;612118;611587
23;20;612161;612138;612118
23;2818;614979;614956;612138
23;522;615501;615478;614956
23;2354;617855;617832;615478
23;2453;620308;620285;617832
23;2447;626755;626732;624285
23;3508;638263;638240;634732
23;2474;640737;640714;638240
23;2230;642967;642944;640714
23;3840;646807;646784;642944
24;3076;649883;649859;646783
24;2401;652284;652260;649859
24;496;652780;652756;652260
24;1998;658778;658754;656756
24;2023;660801;660777;658754
24;1787;662588;662564;660777
24;2742;673330;673306;670564
24;3539;676869;676845;673306
24;3181;680050;680026;676845
24;3657;683707;683683;680026
24;2206;685913;685889;683683
24;3860;689773;689749;685889
24;3248;693021;692997;689749
24;688;693709;693685;692997
25;1231;694940;694915;693684
25;883;695823;695798;694915
25;490;696313;696288;695798
25;3271;699584;699559;696288
25;954;700538;700513;699559
25;380;700918;700893;700513
25;2428;703346;703321;700893
25;3300;706646;706621;703321
25;2895;713541;713516;710621
25;3549;717090;717065;713516
26;640;721730;721704;721064
26;670;722400;722374;721704
26;2520;724920;724894;722374
26;2447;727367;727341;724894
26;3955;731322;731296;727341
26;985;732307;732281;731296
26;696;745003;744977;744281
26;2292;747295;747269;744977
26;1725;749020;748994;747269
27;189;749209;749182;748993
27;1725;754934;754907;753182
27;624;755558;755531;754907
27;3079;758637;758610;755531
27;2599;761236;761209;758610
28;2451;763687;763659;761208
28;2015;769702;769674;767659
28;591;782293;782265;781674
28;2280;784573;784545;782265
28;1880;786453;786425;784545
28;1552;788005;787977;786425
28;1890;789895;789867;787977
29;65;789960;789931;789866
29;331;790291;790262;789931
29;304;790595;790566;790262
29;904;791499;791470;790566
29;2370;793869;793840;791470
29;2156;796025;795996;793840
29;1348;797373;797344;795996
29;1609;798982;798953;797344
29;615;799597;799568;798953
29;2830;802427;802398;799568
29;1610;804037;804008;802398
30;2809;810846;810816;808007
30;104;810950;810920;810816
30;3490;814440;814410;810920
30;1518;815958;815928;814410
30;1503;821461;821431;819928
30;656;826117;826087;825431
30;2775;828892;828862;826087
30;2985;831877;831847;828862
30;768;832645;832615;831847
31;567;833212;833181;832614
31;2962;836174;836143;833181
31;1251;837425;837394;836143
31;1850;839275;839244;837394
31;1100;844375;844344;843244
31;1220;845595;845564;844344
31;1838;847433;847402;845564
31;2704;850137;850106;847402
32;3528;853665;853633;850105
32;3290;856955;856923;853633
32;2840;859795;859763;856923
32;3361;863156;863124;859763
32;1780;864936;864904;863124
32;2861;867797;867765;864904
32;3325;871122;871090;867765
32;1987;877109;877077;875090
32;1858;878967;878935;877077
33;255;879222;879189;878934
33;2938;882160;882127;879189
33;900;883060;883027;882127
33;1357;884417;884384;883027
33;1995;886412;886379;884384
33;3637;890049;890016;886379
34;2319;900368;900334;898015
34;2286;902654;902620;900334
34;3840;906494;906460;902620
34;2390;908884;908850;906460
34;2077;910961;910927;908850
34;1298;912259;912225;910927
34;313;916572;916538;916225
34;651;917223;917189;916538
34;3008;920231;920197;917189
34;579;920810;920776;920197
34;3147;923957;923923;920776
35;3066;931023;930988;927922
35;16;931039;931004;930988
35;3912;938951;938916;935004
35;1952;944903;944868;942916
35;1367;950270;950235;948868
36;3420;953690;953654;950234
36;3774;957464;957428;953654
36;1171;958635;958599;957428
36;380;963015;962979;962599
36;2810;965825;965789;962979
36;1125;966950;966914;965789
36;3125;970075;970039;966914
37;2126;976201;976164;974038
37;3031;979232;979195;976164
37;1248;980480;980443;979195
37;1249;981729;981692;980443
37;3942;989671;989634;985692
37;138;989809;989772;989634
37;1241;991050;991013;989772
37;2924;993974;993937;991013
38;2442;996416;996378;993936
38;2942;999358;999320;996378
38;2075;1001433;1001395;999320
38;1702;1003135;1003097;1001395
38;2993;1006128;1006090;1003097
38;1347;1007475;1007437;1006090
39;1912;1009387;1009348;1007436
39;3181;1012568;1012529;1009348
39;3545;1016113;1016074;1012529
39;533;1020646;1020607;1020074
39;124;1020770;1020731;1020607
39;1479;1022249;1022210;1020731
39;2397;1024646;1024607;1022210
39;807;1025453;1025414;1024607
39;3313;1028766;1028727;1025414
40;1936;1030702;1030662;1028726
40;43;1030745;1030705;1030662
40;2123;1032868;1032828;1030705
40;3311;1040179;1040139;1036828
40;685;1040864;1040824;1040139
40;2364;1043228;1043188;1040824
40;598;1047826;1047786;1047188
40;2111;1053937;1053897;1051786
40;3443;1057380;1057340;1053897
40;1626;1059006;1058966;1057340
41;1101;1064107;1064066;1062965
41;3538;1067645;1067604;1064066
41;3693;1071338;1071297;1067604
41;1834;1077172;1077131;1075297
41;2223;1079395;1079354;1077131
41;1385;1080780;1080739;1079354
41;3736;1084516;1084475;1080739
42;1176;1085692;1085650;1084474
42;2508;1088200;1088158;1085650
42;2245;1090445;1090403;1088158
42;763;1091208;1091166;1090403
42;3559;1094767;1094725;1091166
42;1244;1096011;1095969;1094725
42;1890;1097901;1097859;1095969
42;3039;1100940;1100898;1097859
42;2656;1103596;1103554;1100898
43;3219;1114815;1114772;1111553
43;2192;1117007;1116964;1114772
43;1722;1122729;1122686;1120964
44;2700;1129429;1129385;1126685
44;3014;1132443;1132399;1129385
44;280;1132723;1132679;1132399
44;895;1133618;1133574;1132679
44;912;1138530;1138486;1137574
44;1121;1139651;1139607;1138486
44;3001;1142652;1142608;1139607
45;48;1142700;1142655;1142607
45;3352;1146052;1146007;1142655
45;167;1150219;1150174;1150007
45;3553;1161772;1161727;1158174
45;2343;1168115;1168070;1165727
45;1091;1169206;1169161;1168070
45;3639;1172845;1172800;1169161
45;2509;1175354;1175309;1172800
45;3055;1178409;1178364;1175309
45;580;1178989;1178944;1178364
45;2412;1181401;1181356;1178944
46;1308;1186709;1186663;1185355
46;3601;1190310;1190264;1186663
46;3622;1205932;1205886;1202264
46;1428;1207360;1207314;1205886
46;704;1208064;1208018;1207314
46;2722;1210786;1210740;1208018
46;2347;1213133;1213087;1210740
46;448;1213581;1213535;1213087
47;1;1213582;1213535;1213534
47;1095;1214677;1214630;1213535
47;2923;1217600;1217553;1214630
47;573;1218173;1218126;1217553
47;3777;1221950;1221903;1218126
47;470;1222420;1222373;1221903
47;349;1222769;1222722;1222373
47;3438;1226207;1226160;1222722
47;396;1226603;1226556;1226160
47;2365;1228968;1228921;1226556
47;1507;1230475;1230428;1228921
47;424;1230899;1230852;1230428
47;3283;1234182;1234135;1230852
47;2020;1236202;1236155;1234135
48;1030;1237232;1237184;1236154
48;3933;1241165;1241117;1237184
48;1998;1243163;1243115;1241117
48;2608;1245771;1245723;1243115
48;1759;1247530;1247482;1245723
48;2379;1253909;1253861;1251482
48;2553;1256462;1256414;1253861
48;571;1261033;1260985;1260414
48;3702;1264735;1264687;1260985
49;813;1265548;1265499;1264686
49;2848;1268396;1268347;1265499
49;3196;1271592;1271543;1268347
49;2582;1274174;1274125;1271543
49;2425;1276599;1276550;1274125
49;3632;1280231;1280182;1276550
49;2223;1282454;1282405;1280182
49;2218;1284672;1284623;1282405
49;3758;1288430;1288381;1284623
49;3237;1291667;1291618;1288381
49;520;1292187;1292138;1291618
50;1126;1293313;1293263;1292137
